ID,City,Country,"Temperature (C)","Humidity (%)","Wind Speed (km/h)","Recorded At","Created At"
2,Paris,France,33.00,28.00,11.20,"2026-07-09 14:08:27","2026-07-09 16:08:27"
1,Paris,France,33.80,30.00,9.40,"2026-07-08 15:49:05","2026-07-08 17:49:05"
